input video is: 640x480 @60.0 11008
0.000,12,0.0,0.09999999999999998,159,209,159,209,0,0.2
0.017,5,0.0,0.20000000000000007,357,121,375,113
0.033,7,0.0,0.30000000000000016,321,181,354,146
0.050,12,0.0,0.40000000000000024,287,177,336,164
0.067,14,0.0,0.5000000000000003,290,159,324,130
0.083,16,0.0,0.6000000000000004,296,174,287,153
0.100,14,0.0,0.7000000000000005,362,177,331,167
0.117,10,0.0,0.8000000000000006,309,202,330,167
0.133,12,0.0,0.9000000000000007,249,191,294,138
0.150,12,0.0,1.0000000000000009,288,136,294,126
0.167,11,0.0,1.100000000000001,279,156,294,130
0.183,12,0.0,1.200000000000001,292,191,312,120
0.200,20,0.0,1.3000000000000012,289,202,322,128
0.217,8,0.0,1.4000000000000012,307,133,322,98
0.233,8,0.0,1.5000000000000013,206,194,288,120
0.250,9,0.0,1.6000000000000014,314,171,308,141
0.267,18,0.0,1.7000000000000015,204,195,255,162
0.283,11,0.0,1.8000000000000016,323,181,315,145
0.300,11,0.0,1.8000000000000016,279,184,302,139
0.317,11,0.0,1.9000000000000017,270,165,301,141
0.333,26,0.0,2.0000000000000018,260,148,279,143
0.350,28,0.0,2.100000000000002,290,183,299,162
0.367,26,0.0,2.200000000000002,281,187,295,170
0.383,19,0.0,2.300000000000002,287,177,284,159
0.400,14,0.0,2.400000000000002,287,177,311,148
0.417,11,0.0,2.500000000000002,301,131,335,120
0.433,9,0.0,2.6000000000000023,314,132,328,124
0.450,11,0.0,2.7000000000000024,258,186,310,141
0.467,12,0.0,2.8000000000000025,278,126,312,132
0.483,15,0.0,2.9000000000000026,289,147,308,134
0.500,13,0.0,3.0000000000000027,255,151,296,136
0.517,14,0.0,3.1000000000000028,312,141,319,135
0.533,11,0.0,3.2000000000000033,394,186,357,159
0.550,11,0.0,3.300000000000003,386,202,362,178
0.567,10,0.0,3.4000000000000026,365,210,353,195
0.583,18,0.0,3.500000000000002,326,166,351,190
0.600,15,0.0,3.600000000000002,354,173,354,189
0.617,13,0.0,3.7000000000000015,338,162,345,180
0.633,18,0.0,3.800000000000001,347,163,343,175
0.650,20,0.0,3.900000000000001,304,184,335,181
0.667,14,0.0,4.0,251,148,319,183
0.683,12,0.0,4.1,293,120,306,166
0.700,18,0.0,4.199999999999999,363,183,304,178
0.717,16,0.0,4.299999999999999,358,222,311,185
